ticker,status,last_close,sma50,sma200,avgvol50,last_vol,relvol_proxy,reasons,market_cap,n_days
GIN,insufficient_history,,,,,,,,,0.0
NWX,insufficient_history,,,,,,,,,0.0
GIP,insufficient_history,,,,,,,,,0.0
DRG,insufficient_history,,,,,,,,,0.0
RLX,fail,2.25,2.3281999731063845,2.3370499956607818,2294300.0,1320200.0,0.5754260558776098,"price<min,relvol<min,below_sma50,below_sma200",,
XBD,insufficient_history,,,,,,,,,0.0
SOX,insufficient_history,,,,,,,,,0.0
GSM,fail,4.650000095367432,4.979400005340576,4.485350012779236,1190520.0,939700.0,0.7893189530625273,"price<min,relvol<min,below_sma50",,
TXX,insufficient_history,,,,,,,,,0.0
XTC,insufficient_history,,,,,,,,,0.0
UTY,insufficient_history,,,,,,,,,0.0
BBH,fail,188.92999267578125,194.7979995727539,175.53539909362792,7484.0,12100.0,1.6167824692677712,"avgvol50<min,below_sma50",,
IYD,insufficient_history,,,,,,,,,0.0
IYG,fail,84.2699966430664,90.31880020141601,88.00459995269776,106984.0,240500.0,2.247999700889853,"avgvol50<min,below_sma50,below_sma200",,
IYH,fail,63.810001373291016,65.64019996643066,60.68519998550415,832460.0,2198700.0,2.6412079859692956,below_sma50,,
HHH,fail,69.41999816894531,79.37439987182617,77.24619987487793,390406.0,659300.0,1.6887547834818113,"avgvol50<min,below_sma50,below_sma200",,
IYV,insufficient_history,,,,,,,,,0.0
IAH,insufficient_history,,,,,,,,,0.0
BHH,insufficient_history,,,,,,,,,0.0
IH,fail,1.899999976158142,1.9068600058555603,2.476315000653267,13538.0,4600.0,0.33978431082877825,"price<min,avgvol50<min,relvol<min,below_sma50,below_sma200",,
PPH,fail,105.94000244140625,107.29919967651367,95.22124984741211,428528.0,166500.0,0.38853937198969496,"avgvol50<min,relvol<min,below_sma50",,
IYR,PASS,99.0199966430664,97.23400024414063,96.00235000610351,7748530.0,11883900.0,1.5336973593700998,,4982375936.0,
RMS,insufficient_history,,,,,,,,,0.0
VGSIX,fail,31.110000610351562,30.492200126647948,30.09869999885559,0.0,0.0,,avgvol50<min,,
SMH,fail,380.55999755859375,395.67120056152345,330.9136498260498,7606860.0,12411300.0,1.6315930620518848,below_sma50,,
XLK,fail,137.2899932861328,143.05219940185546,136.7080500793457,18757176.0,19674700.0,1.0489158922430541,"relvol<min,below_sma50",,
IYW,fail,188.33999633789062,196.70259857177734,188.5410994720459,1234048.0,1874100.0,1.5186605383258998,"below_sma50,below_sma200",,
IYZ,fail,39.099998474121094,36.31139999389649,32.38399994850159,1675686.0,1487500.0,0.8876961435495672,relvol<min,,
TTH,insufficient_history,,,,,,,,,0.0
