ticker,status,last_close,sma50,sma200,avgvol50,last_vol,relvol_proxy,reasons,n_days
KTB,fail,78.86000061035156,63.81720001220703,70.21285003662109,774900.06,88203.0,0.11382500086527286,relvol<min,
SEM,fail,16.25,15.316599941253662,14.280300006866455,1089490.02,268201.0,0.2461711397778568,relvol<min,
SRRK,fail,47.599998474121094,45.393999938964846,37.670900144577026,1023997.64,318282.0,0.31082298197484126,relvol<min,
LWLG,fail,4.699999809265137,3.844400014877319,3.262150008380413,1982287.1,2522855.0,1.272699095907954,price<min,
TDW,fail,83.83000183105469,64.08780014038086,55.0565500831604,730766.6,81830.0,0.1119782978587144,relvol<min,
GTE,fail,7.349999904632568,5.287400007247925,4.615550003051758,620501.44,523672.0,0.8439496933318963,relvol<min,
IDYA,fail,33.95500183105469,34.02950016021728,28.263275022506715,853913.78,45789.0,0.053622509757366835,"relvol<min,below_sma50",
ASTS,fail,99.02999877929688,94.4033999633789,64.21987480163574,16049485.6,3282980.0,0.20455359640934537,relvol<min,
CNR,fail,89.94999694824219,91.86139999389648,81.23204982757568,723539.26,90563.0,0.12516667029236256,"relvol<min,below_sma50",
DEC,fail,14.779999732971191,13.513600006103516,14.249050016403197,587743.8,33790.0,0.05749103606026979,relvol<min,
INGM,fail,26.116500854492188,21.578730087280274,20.924182481765747,509822.64,85132.0,0.16698356118512117,relvol<min,
CF,fail,111.04000091552734,90.13080001831055,88.1579999923706,2420114.28,1540914.0,0.6367112548090085,relvol<min,
CHRD,fail,118.66500091552734,98.49550003051758,98.77172512054443,804404.7,226335.0,0.2813695643498851,relvol<min,
WDS,fail,22.040000915527344,17.549599952697754,16.399649968147276,944979.64,253682.0,0.26845234464522433,relvol<min,
FLNG,fail,29.340099334716797,26.433601951599123,25.299250478744508,461903.28,127364.0,0.2757373794790979,"avgvol50<min,relvol<min",
SU,fail,57.63999938964844,51.217399978637694,43.07060001373291,4945503.76,432888.0,0.08753162893156916,relvol<min,
CVX,fail,187.70069885253906,171.52141357421874,156.39865341186524,10854819.94,1260597.0,0.11613246529817611,relvol<min,
EOG,fail,130.05999755859375,112.79579940795898,113.97449966430663,4761543.78,515989.0,0.108365904807453,relvol<min,
HAFN,fail,7.619999885559082,6.243599996566773,5.874799976348877,1288711.18,762059.0,0.5913342041465024,relvol<min,
KOS,fail,2.618000030517578,1.4835599982738494,1.6320900079607963,19655392.38,4381119.0,0.22289654234824288,"price<min,relvol<min",
BNAL,insufficient_history,,,,,,,,0.0
FBF,insufficient_history,,,,,,,,0.0
PARR,fail,51.30500030517578,39.22529991149902,35.115474977493285,1143788.64,185232.0,0.16194600428974362,relvol<min,
IYE,fail,59.84000015258789,53.3784001159668,48.236950073242184,1603290.14,417407.0,0.26034401982912464,relvol<min,
XLE,fail,56.61000061035156,50.426599655151364,45.432174854278564,51644773.04,12434252.0,0.24076496551489154,relvol<min,
XOP,fail,164.27999877929688,138.94320037841797,131.31550006866456,4125795.2,1414060.0,0.3427363529823293,relvol<min,
FCX,fail,63.869998931884766,60.34479965209961,46.93414978027344,19892168.8,2884740.0,0.1450188779817714,relvol<min,
GLNG,fail,46.63999938964844,41.22079978942871,40.418649978637696,1274390.06,182003.0,0.14281577180537644,relvol<min,
CL=F,fail,78.16000366210938,62.693399810791014,62.88404987335205,347554.56,294781.0,0.8481574806556991,"avgvol50<min,relvol<min",
BZ=F,fail,84.06999969482422,67.41379981994629,66.54804983139039,59225.82,76407.0,1.290096110108733,avgvol50<min,
RB=F,fail,2.5803000926971436,1.9086279916763305,1.988771499991417,47873.9,69838.0,1.4587906980630363,"price<min,avgvol50<min",
NG=F,fail,2.947000026702881,3.7203799962997435,3.5754999935626985,183756.36,41497.0,0.22582619725379846,"price<min,avgvol50<min,relvol<min,below_sma50,below_sma200",
