ticker,status,last_close,sma50,sma200,avgvol50,last_vol,relvol_proxy,reasons,n_days,market_cap,mcap_source
NUGT,fail,239.0,242.5197998046875,147.31454992294312,782189.38,338569.0,0.43284786096175326,"relvol<min,below_sma50",,,
DUST,fail,44.54999923706055,6.126200013160705,14.156650031805038,76882136.12,319906.0,0.00416099260692602,relvol<min,,,
UGL,fail,73.16999816894531,68.68860008239746,49.060475025177,6665737.18,1162359.0,0.17437816232652606,relvol<min,,,
GLL,fail,17.690000534057617,20.457000007629393,32.865199937820435,9592604.36,1866818.0,0.1946101319245903,"relvol<min,below_sma50,below_sma200",,,
TMF,fail,39.29999923706055,38.52939987182617,38.86955005645752,5781493.38,1401569.0,0.24242335117920694,relvol<min,,,
TMV,fail,35.1150016784668,35.95330001831055,36.662975034713746,1023225.22,409361.0,0.40006930243568467,"relvol<min,below_sma50,below_sma200",,,
NVDU,fail,107.69999694824219,115.5161001586914,114.44767520904541,472761.08,95854.0,0.2027535769230411,"avgvol50<min,relvol<min,below_sma50,below_sma200",,,
NVDD,fail,38.88999938964844,38.376519927978514,41.842074928283694,264677.6,26880.0,0.1015575175232056,"avgvol50<min,relvol<min,below_sma200",,,
NVDL,fail,80.54000091552734,86.32900009155273,82.64234991073609,10143713.04,2121452.0,0.20913959135421287,"relvol<min,below_sma50,below_sma200",,,
BITX,fail,16.936199188232422,23.07052406311035,44.33345601081848,12523687.66,4373583.0,0.34922485443077556,"relvol<min,below_sma50,below_sma200",,,
BITI,fail,25.28499984741211,24.89469997406006,20.881875019073487,2656746.56,585728.0,0.2204681503379833,relvol<min,,,
