ticker,name,market,asset_type,sector,industry,source
108320.KS,LX세미콘,,STOCK,Information Technology,Semiconductors,existing
108490.KQ,로보티즈,,STOCK,Industrials,Robotics,existing
110790.KQ,크리스에프앤씨,,STOCK,Consumer Discretionary,Apparel / Fashion,existing
112040.KQ,위메이드,,STOCK,Communication Services,Gaming,existing
112610.KS,씨에스윈드,,STOCK,Energy,Wind power equipment,existing
114090.KS,GKL,,STOCK,Consumer Discretionary,Casino / Leisure,existing
117680.KS,KODEX 철강,,ETF,ETF,KODEX 철강,existing
117730.KQ,티로보틱스,,STOCK,Industrials,Robotics,existing
119610.KQ,인터로조,,STOCK,Healthcare,Medical devices / Contact lens,existing
120110.KS,코오롱인더,,STOCK,Materials,Chemicals / Industrial materials,existing
121600.KQ,나노신소재,,STOCK,Materials,Materials,existing
122450.KQ,KX,,STOCK,Communication Services,Media / Broadcasting,existing
122870.KQ,와이지엔터테인먼트,,STOCK,Communication Services,Entertainment,existing
128940.KS,한미약품,,STOCK,Healthcare,Pharmaceuticals,existing
131970.KQ,두산테스나,,STOCK,Other,Other / Needs review,existing
132030.KS,KODEX 골드선물(H),,ETF,ETF,KODEX 골드선물(H),existing
137310.KS,에스디바이오센서,,STOCK,Healthcare,Biotech / Healthcare,existing
137400.KQ,피엔티,,STOCK,Industrials,Battery equipment,existing
139480.KS,이마트,,STOCK,Consumer Staples,Retail / Hypermarket,existing
140410.KQ,메지온,,STOCK,Healthcare,Biotech,existing
141080.KQ,리가켐바이오,,STOCK,Healthcare,Biotech / Healthcare,existing
142280.KQ,녹십자엠에스,,STOCK,Healthcare,Diagnostics,existing
144510.KQ,지씨셀,,STOCK,Healthcare,Cell therapy / Biotech,existing
145020.KQ,휴젤,,STOCK,Healthcare,Biotech / Aesthetics,existing
145720.KS,덴티움,,STOCK,Healthcare,Dental implants / Medical devices,existing
160190.KQ,하이젠알앤엠,,STOCK,Industrials,Motors / Robotics components,existing
160550.KQ,NEW,,STOCK,Communication Services,Media / Contents,existing
174900.KQ,앱클론,,STOCK,Healthcare,Biotech,existing
178320.KQ,서진시스템,,STOCK,Information Technology,IT Systems,existing
180640.KS,한진칼,,STOCK,Holding Company,Holding company / Airline,existing
181710.KQ,NHN,,STOCK,Communication Services,Gaming / Internet services,existing
181710.KS,NHN,,STOCK,Communication Services,Gaming / Internet services,existing
185750.KS,종근당,,STOCK,Other,Other / Needs review,existing
187420.KQ,HLB제넥스,,STOCK,Healthcare,Biotech,existing
187660.KQ,페니트리움바이오,,STOCK,Healthcare,Biotech / Healthcare,existing
189300.KQ,인텔리안테크,,STOCK,Technology,Satellite communication equipment,existing
190510.KQ,나무가,,STOCK,Information Technology,Camera modules,existing
195870.KS,해성디에스,,STOCK,Information Technology,Semiconductor package substrate,existing
