ticker,price,gap_pct,rsi14,sma10,sma40,sma50,sma200,px_vs_sma10,px_vs_sma40,px_vs_sma50,px_vs_sma200,sma10_slope,sma40_slope,weekly_up,weekly_r1,weekly_s1,room_to_weekly_r1_pct,daily_break_level,daily_breakout,daily_retest,in_daily_box_middle,grade,score
EBON,2.01,8.06,23.82,1.85,2.33,2.44,3.63,8.87,-13.73,-17.54,-44.62,DN,DN,False,2.85,2.31,41.79,3.59,False,False,False,B,0.0
DDD,2.08,8.33,36.25,1.92,2.09,2.12,2.21,8.11,-0.42,-1.78,-5.72,DN,DN,False,2.67,1.97,28.37,2.89,False,False,False,B,0.0
UNG,12.31,11.1,25.39,11.62,12.01,12.39,13.12,5.97,2.53,-0.65,-6.2,DN,DN,False,13.26,11.17,7.72,17.03,False,False,False,B,0.0
FLNC,14.65,11.66,31.04,13.81,15.76,18.04,15.34,6.07,-7.03,-18.79,-4.47,DN,DN,False,18.21,13.81,24.3,33.51,False,False,False,B,0.0
BSX,70.17,12.16,22.61,64.66,70.67,73.74,93.62,8.52,-0.71,-4.84,-25.05,DN,DN,False,76.87,67.56,9.55,97.9,False,False,False,B,0.0
NKE,51.76,20.01,18.89,47.91,56.32,57.58,66.24,8.02,-8.09,-10.1,-21.86,DN,DN,False,68.49,60.43,32.32,68.49,False,False,False,B,0.0
BOIL,17.79,23.89,24.53,15.83,17.41,19.18,28.68,12.4,2.15,-7.23,-37.98,DN,DN,False,21.31,15.55,19.79,41.25,False,False,False,B,0.0
AGIG,1.58,43.64,24.07,1.35,2.26,2.42,5.41,17.3,-29.96,-34.81,-70.77,DN,DN,False,5.31,2.61,236.08,5.31,False,False,False,B,0.0
TEL,200.18,-10.25,72.38,208.75,214.55,216.07,215.79,-4.11,-6.7,-7.36,-7.23,UP,DN,True,245.0,191.12,22.39,245.0,False,False,False,B,-1.0
WST,248.01,-6.74,81.26,252.39,245.9,244.23,254.23,-1.74,0.86,1.55,-2.44,UP,UP,True,254.61,228.4,2.66,281.55,False,False,True,B,-1.0
JPM,289.79,-5.9,70.32,293.87,296.07,299.02,302.81,-1.39,-2.12,-3.09,-4.3,UP,DN,True,326.4,279.1,12.63,326.86,False,False,False,B,-1.0
ROST,214.3,-4.53,70.8,216.94,208.21,204.41,169.19,-1.22,2.92,4.84,26.66,UP,UP,True,216.8,194.07,1.17,224.6,False,False,False,B,-1.0
SAFX,0.43,-38.13,75.43,0.42,0.3,0.28,0.86,2.87,45.29,55.52,-49.74,UP,UP,False,0.65,0.15,51.16,0.74,False,False,True,B,-2.0
COST,977.45,-5.13,78.06,1000.49,994.97,990.71,949.05,-2.3,-1.76,-1.34,2.99,UP,UP,False,1028.44,961.0,5.22,1030.46,False,False,True,B,-2.0
TMO,488.1,-3.05,72.46,489.17,497.95,513.4,519.97,-0.22,-1.98,-4.93,-6.13,UP,DN,False,643.99,458.34,31.94,643.99,False,False,False,B,-2.0
KOLD,19.74,-17.78,72.8,22.17,21.32,20.72,29.42,-10.95,-7.4,-4.75,-32.9,UP,UP,False,24.69,17.41,25.08,48.68,False,False,False,B,-3.0
ALOT,9.05,-16.59,73.65,9.51,9.15,9.16,9.65,-4.83,-1.06,-1.18,-6.19,UP,UP,False,10.0,8.29,10.5,11.29,False,False,False,B,-3.0
FAS,115.59,-12.07,70.55,118.7,127.49,133.02,159.38,-2.62,-9.33,-13.1,-27.48,UP,DN,False,161.66,106.91,39.86,172.96,False,False,False,B,-3.0
ROK,353.0,-9.48,75.14,363.48,377.86,386.38,370.27,-2.88,-6.58,-8.64,-4.66,UP,DN,False,412.73,332.71,16.92,438.72,False,False,False,B,-3.0
BAC,47.97,-7.54,79.33,49.08,49.77,50.65,50.93,-2.26,-3.61,-5.3,-5.81,UP,DN,False,56.87,46.12,18.55,56.87,False,False,False,B,-3.0
WFC,78.72,-7.02,77.16,80.23,81.7,83.68,84.34,-1.88,-3.64,-5.93,-6.67,UP,DN,False,95.09,74.03,20.8,95.75,False,False,False,B,-3.0
