# saved_at_kr,2026-05-04 16:40:29 KST
# provider,yahoo(yfinance)
# group: kr_foreign_naver_auto
005290.KQ,58800.0
377300.KS,55900.0
353200.KS,114400.0
119850.KQ,37050.0
425040.KQ,19790.0
417500.KQ,4810.0
003160.KS,33750.0
200710.KQ,53900.0
226950.KQ,174100.0
347850.KQ,74900.0
214450.KQ,338000.0
319400.KQ,32450.0
083650.KQ,99100.0
357780.KQ,458500.0
108490.KQ,313500.0
090710.KQ,12510.0
049950.KQ,16390.0
348340.KQ,67600.0
270660.KQ,19140.0
160190.KQ,45400.0
388720.KQ,104000.0
028300.KQ,61400.0
141080.KQ,181500.0
298380.KQ,132500.0
310210.KQ,292000.0
066970.KQ,
078600.KQ,157300.0
121600.KQ,84500.0
278280.KQ,65500.0
365340.KQ,79800.0
383310.KQ,32850.0
393890.KQ,19700.0
010120.KS,293750.0
017800.KS,100000.0
